                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.58655,                0.92418,                0.70849,                 0.9278,                0.57895,                0.43241,                0.40642,                0.33013,                0.62447,                0.35504,                0.36667,                0.26493,                0.71447,                 2.0976,                 1.6283,                 0.9731,              0.0011851,              0.0011851,              0.0011851
                     75,                0.55328,                 0.8297,                0.66588,                0.93056,                0.65159,                0.46232,                0.45906,                0.37278,                0.66939,                0.40403,                0.40118,                0.30686,                0.66363,                 1.9144,                 1.4396,                0.92492,              0.0011785,              0.0011785,              0.0011785
                     76,                0.55853,                0.82702,                 0.6892,                0.92871,                0.69292,                0.47899,                0.48311,                0.39874,                0.65669,                0.44297,                0.42258,                0.34221,                0.65048,                 1.7838,                 1.3549,                0.91586,              0.0011719,              0.0011719,              0.0011719
                     77,                0.56557,                0.87842,                0.63912,                0.91941,                0.69292,                0.47899,                0.48311,                0.39874,                0.65669,                0.44297,                0.42258,                0.34221,                0.65048,                 1.7838,                 1.3549,                0.91586,              0.0011653,              0.0011653,              0.0011653
                     78,                0.54973,                0.83206,                0.64541,                0.93964,                0.63014,                0.48084,                0.46158,                0.38035,                0.60066,                0.46232,                0.44034,                0.33682,                0.63477,                 1.6537,                 1.3812,                0.90849,              0.0011587,              0.0011587,              0.0011587
                     79,                0.51359,                0.79743,                0.60182,                0.92392,                0.62277,                0.44636,                0.45898,                0.36989,                0.55654,                0.46488,                0.43271,                0.33918,                0.65352,                 1.7304,                 1.4259,                0.94143,              0.0011521,              0.0011521,              0.0011521
                     80,                 0.5675,                 1.0199,                0.65344,                0.92447,                0.62743,                0.44764,                 0.4455,                0.34774,                0.62743,                0.44764,                0.42229,                0.31599,                0.67145,                 1.8944,                 1.5009,                0.96937,              0.0011455,              0.0011455,              0.0011455
                     81,                0.50804,                0.78692,                0.61928,                0.91416,                0.62743,                0.44764,                 0.4455,                0.34774,                0.62743,                0.44764,                0.42229,                0.31599,                0.67145,                 1.8944,                 1.5009,                0.96937,              0.0011389,              0.0011389,              0.0011389
                     82,                 0.5532,                0.90737,                0.65625,                0.94182,                0.55883,                0.46304,                0.42726,                0.32706,                0.55883,                0.46304,                0.41411,                0.29831,                0.70321,                 1.9386,                 1.5807,                0.99847,              0.0011323,              0.0011323,              0.0011323
                     83,                0.56069,                0.88364,                0.64661,                0.92835,                0.58282,                0.46488,                0.43595,                0.34061,                0.55357,                0.48084,                0.40419,                0.29458,                0.70722,                  1.962,                 1.5299,                 1.0135,              0.0011257,              0.0011257,              0.0011257
                     84,                0.49851,                0.70918,                0.61999,                0.90886,                0.48328,                0.50649,                0.40561,                0.31823,                0.46048,                0.48201,                0.37329,                0.26686,                0.72027,                 2.0553,                 1.6186,                 1.0399,              0.0011191,              0.0011191,              0.0011191
                     85,                0.57648,                0.95185,                0.68518,                0.94953,                0.48328,                0.50649,                0.40561,                0.31823,                0.46048,                0.48201,                0.37329,                0.26686,                0.72027,                 2.0553,                 1.6186,                 1.0399,              0.0011125,              0.0011125,              0.0011125
                     86,                0.54752,                0.74123,                0.59635,                0.90874,                0.46029,                0.48995,                0.38117,                0.29964,                0.42924,                0.45386,                 0.3458,                0.24124,                0.74157,                 2.0945,                  1.639,                 1.0523,              0.0011059,              0.0011059,              0.0011059
                     87,                0.51285,                0.75651,                0.59218,                0.89994,                0.62937,                0.37409,                0.38428,                0.29937,                0.57264,                 0.3383,                0.34245,                0.24427,                0.75291,                 2.1503,                 1.7191,                 1.0505,              0.0010993,              0.0010993,              0.0010993
                     88,                0.52569,                0.82366,                 0.6291,                0.92795,                0.57174,                0.39464,                0.39815,                0.31337,                0.42464,                0.46825,                0.35889,                0.26704,                0.75602,                 2.0654,                 1.6236,                 1.0263,              0.0010927,              0.0010927,              0.0010927
                     89,                 0.5515,                0.82035,                0.62194,                  0.928,                0.57174,                0.39464,                0.39815,                0.31337,                0.42464,                0.46825,                0.35889,                0.26704,                0.75602,                 2.0654,                 1.6236,                 1.0263,              0.0010861,              0.0010861,              0.0010861
                     90,                0.57655,                 0.8633,                0.62887,                0.92181,                0.54138,                0.49808,                0.43891,                 0.3621,                0.45577,                0.46105,                0.38794,                0.29815,                0.75359,                 2.0356,                 1.5312,                0.99614,              0.0010795,              0.0010795,              0.0010795
                     91,                0.49113,                0.65545,                0.59044,                0.90149,                0.73626,                0.40805,                0.46733,                0.38211,                0.69796,                0.38953,                0.41864,                0.32996,                0.72166,                 1.9915,                 1.3378,                0.96943,              0.0010729,              0.0010729,              0.0010729
